               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034813,            0.013796,            0.022202,             0.82471,             0.54616,             0.69487,             0.29866,            0.041647,           0.0084727,            0.019532,            0.007624,            0.007624,            0.007624
                  38,            0.034432,            0.014319,            0.021456,             0.53416,             0.46845,             0.50485,              0.1652,            0.060479,           0.0096875,             0.02719,            0.007558,            0.007558,            0.007558
                  39,            0.034174,            0.013349,             0.02134,             0.76723,             0.78874,             0.85571,             0.37398,            0.039313,           0.0064223,            0.010341,            0.007492,            0.007492,            0.007492
                  40,            0.035908,            0.013936,            0.021548,             0.77514,             0.76772,             0.83658,             0.40358,            0.041663,           0.0060495,            0.011463,            0.007426,            0.007426,            0.007426
                  41,            0.033765,            0.013718,            0.020477,              0.4214,             0.37706,             0.36041,             0.13247,            0.062023,            0.010698,            0.032899,             0.00736,             0.00736,             0.00736
                  42,             0.03272,             0.01342,            0.020254,             0.76246,             0.84806,             0.87122,             0.41694,            0.041284,           0.0063471,            0.010718,            0.007294,            0.007294,            0.007294
                  43,            0.033018,            0.013724,            0.019694,             0.73408,             0.76138,             0.83534,             0.39375,             0.03553,           0.0062884,            0.015288,            0.007228,            0.007228,            0.007228
                  44,            0.033768,            0.013446,            0.018498,             0.67191,             0.46532,             0.52193,             0.18436,            0.059859,           0.0099633,            0.021802,            0.007162,            0.007162,            0.007162
                  45,            0.033586,            0.013567,            0.017649,             0.81198,              0.7812,             0.85713,             0.41957,            0.041543,           0.0063975,            0.010061,            0.007096,            0.007096,            0.007096
                  46,            0.032449,            0.012906,            0.018035,             0.63713,             0.65727,             0.73556,             0.30835,            0.041132,           0.0068683,            0.014695,             0.00703,             0.00703,             0.00703
